BOOT_BUTTON,24.02,108.73,180,BUTTON_CUSYOMV1,MYBUTTON
C1,158.29,6.35,90,100nF,EAGLE-LTSPICE_C0402
C10,68.48,108.11,270,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,93.99,50.74,270,CPH3225A,CAPCP3225X100N
C17,133.31,44.47,90,,EAGLE-LTSPICE_C0402
C1_BAT,133.59,55.55,270,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,119.29,45.29,270,4.7uF,EAGLE-LTSPICE_C0402
C2,157.07,6.35,90,100nF,EAGLE-LTSPICE_C0402
C2_BAT,128.2,49.85,270,4.7uF,EAGLE-LTSPICE_C0402
C3,130.29,43.8,270,100uF,RCL_CT3528
C4,96.93,30.33,90,4.7uF,EAGLE-LTSPICE_C0402
C4_USB,152.78,49.97,180,,EAGLE-LTSPICE_C0402
C5,53.66,108.11,270,1uF,EAGLE-LTSPICE_C0402
C5_USB,152.79,48.27,180,,EAGLE-LTSPICE_C0402
C6,20.05,108.01,270,100nF,EAGLE-LTSPICE_C0402
C7,83.48,23.23,0,10uF,EAGLE-LTSPICE_C0402
C8,92.02,59.83,90,100nF,EAGLE-LTSPICE_C0402
C9,7.1,100.83,270,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,63.94,108.76,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,125.94,54.35,90,,ADAFRUIT_CHIP-LED0603
C_DELAY,52.23,102.59,270,100nF,EAGLE-LTSPICE_C0402
D1,152.3,53.09,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,52.41,39.97,270,PGB1010603MR,DIOC1608X36N
D11,56.93,39.97,270,PGB1010603MR,DIOC1608X36N
D12,55.07,39.97,270,PGB1010603MR,DIOC1608X36N
D2,120.95,45.28,270,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,93.56,25.17,0,MBR0530,SOD3716X135N
D4,93.6,28.87,180,MBR0530,SOD3716X135N
D5,83.92,32.45,0,MBR0530,SOD3716X135N
D6,78,20.79,0,PGB1010603MR,DIOC1608X36N
D7,87.8,62.78,180,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,12.55,98.67,180,PGB1010603MR,DIOC1608X36N
D9,34.23,49.47,270,PGB1010603MR,DIOC1608X36N
EPD_C1,93.98,19.97,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,82.97,19.99,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,81.15,19.99,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,90.31,19.99,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,92.19,19.97,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,69.91,12.49,90,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,88.4,19.97,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,84.81,19.97,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,86.52,19.97,90,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,72.48,15.65,180,1uF/50V,EAGLE-LTSPICE_C0402
IC1,49.17,102.29,0,BD5229G-TR,SOT95P280X125-5N
IC4,125.51,44.99,0,XC6220A331MR-G,SOT95P280X120-5N
J1,87.37,13.44,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,165.49,54.32,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,166.22,19.46,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,8.47,88.83,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,83.97,27.75,0,68uH,IND_4828-WE-TPC_WRE
MCP73831,129.59,53.39,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMP.050.1,151.6,44.46,180,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,134.56,51.11,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,80.33,24.16,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,68.95,17.05,90,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,18.95,43.51,270,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,8.92,100.83,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,125.81,52.45,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,159.58,6.37,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,87.76,61.24,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,121.85,41.94,0,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,67.66,13.51,0,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,88.29,46.49,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,156.49,57.21,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,148.88,53.23,90,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,122.82,54.85,270,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,155.86,6.37,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,73.44,18.63,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,72.24,18.63,270,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,32.66,49.48,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,52.48,36.83,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,56.6,36.83,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,55.3,36.83,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,76.21,24.13,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.93,108.76,180,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,27.4,107.72,90,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.55,50.24,90,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,58.8,108.2,90,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,77.81,24.15,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.2,108.3,90,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.76,11.42,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,67.44,11.59,0,,SJ
TP1,11.37,71.01,0,TPTP20R,TP20R
TP10,110,12.81,0,TPTP20R,TP20R
TP11,109.95,23.51,0,TPTP20R,TP20R
TP12,109.95,15.41,0,TPTP20R,TP20R
TP13,109.9,18.11,0,TPTP20R,TP20R
TP14,126.05,34.91,0,TPTP20R,TP20R
TP15,84.7,99.81,0,TPTP20R,TP20R
TP16,81.55,99.81,0,TPTP20R,TP20R
TP17,109.9,20.81,0,TPTP20R,TP20R
TP2,13.89,71.01,0,TPTP20R,TP20R
TP3,156.61,65.11,0,TPTP20R,TP20R
TP4,87.93,99.61,0,TPTP20R,TP20R
TP5,159.55,65.11,0,TPTP20R,TP20R
TP6,31.09,88.79,0,TPTP20R,TP20R
TP7,31.11,85.99,0,TPTP20R,TP20R
TP8,43.93,29.29,0,TPTP20R,TP20R
TP9,109.95,10.29,0,TPTP20R,TP20R
U1,38.09,55.96,0,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.79,55.94,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.45,54.5,270,DS3231SN#,SOIC127P1032X265-16N
U4,137.68,55.52,0,MAX17048G+T10,SON50P200X200X80-9N
